LastComm	LastUpdate	N_Bikes	N_Empty
1447721451237	1447719760837	1	16
1447722080174	1447722079235	0	17
1447736304179	1447736302478	1	16
1447742608550	1447742604471	1	16
1447764220101	1447764218725	2	16
1447764270376	1447764269265	2	16
1447764335570	1447764334368	5	13
1447765082381	1447765081143	6	12
1447765981549	1447765980233	7	11
1447766193341	1447766192730	6	12
1447767298543	1447767297850	5	13
1447767990871	1447767990116	4	14
1447768190190	1447768189108	3	15
1447768852610	1447768851088	4	14
1447768897605	1447768896780	3	15
1447772446737	1447772444714	3	15
1447772450425	1447772449336	2	16
1447773291417	1447773289593	3	15
1447784099511	1447784098251	2	16
1447784570286	1447784569005	1	17
1447786305330	1447786303035	4	14
1447786358611	1447786356478	8	11
1447786375746	1447786374009	9	10
1447791448311	1447791445969	9	10
1447791455185	1447791454024	8	11
1447792562283	1447792561034	7	12
1447793480086	1447793478762	6	13
1447795671603	1447795670055	5	14
1447796020674	1447796019176	4	15
1447796110301	1447796108178	5	14
1447797344460	1447797342188	6	13
1447798102491	1447798099819	6	13
1447798110687	1447798109034	5	14
1447800606028	1447800604182	4	15
1447800786786	1447800784268	5	14
1447800992546	1447800989974	6	13
1447801097763	1447801095147	7	12
1447803493246	1447803492085	8	11
1447805167704	1447805167071	7	12
1447805610307	1447805608845	8	11
1447807231358	1447807230622	7	12
1447823461392	1447823459448	8	11
1447833115037	1447833113519	9	10
1447849118144	1447849117344	8	11
1447849339256	1447849337839	9	10
1447852809624	1447852807489	9	10
1447852812977	1447852811870	8	11
1447853656667	1447853655533	7	12
1447854123001	1447854121157	8	11
1447854605144	1447854603169	9	10
1447854906211	1447854904983	8	11
1447855229687	1447855228435	7	12
1447855566164	1447855564715	6	13
1447855929550	1447855928075	5	14
1447857590785	1447857588719	6	13
1447858076773	1447858074469	7	12
1447860658580	1447860656335	6	13
1447862975255	1447862973024	6	13
1447862978376	1447862977411	5	14
1447863924906	1447863923879	4	15
1447866447720	1447866445684	5	14
1447871022367	1447871020205	6	13
1447871434876	1447871432844	5	14
1447873978113	1447873976311	4	15
1447874499881	1447874497764	3	16
1447875572002	1447875570472	4	15
1447878271078	1447878269968	3	16
1447878413669	1447878411972	4	15
1447878645124	1447878643332	5	14
1447878958718	1447878956764	6	13
1447879615257	1447879613083	6	13
1447879618624	1447879617499	5	14
1447882367125	1447882365818	4	15
