LastComm	LastUpdate	N_Bikes	N_Empty
1447721924483	1447720233759	10	1
1447723370954	1447723370121	11	0
1447749599178	1447749598039	10	1
1447762868979	1447762867603	9	2
1447766311258	1447766310190	7	4
1447767147336	1447767146617	6	5
1447767356201	1447767355470	5	6
1447767510361	1447767509617	4	7
1447767849834	1447767849022	3	8
1447767926334	1447767925551	2	9
1447768406822	1447768406033	1	10
1447769346463	1447769345613	0	11
1447769660198	1447769658325	2	9
1447769705505	1447769704004	4	7
1447772145784	1447772143669	4	7
1447772150477	1447772149448	3	8
1447790349843	1447790348252	4	7
1447792873120	1447792871981	3	8
1447795715759	1447795714513	4	7
1447796262417	1447796261301	5	6
1447797834495	1447797833262	6	5
1447798390489	1447798389081	7	4
1447799632459	1447799631796	6	5
1447800587539	1447800586132	7	4
1447804036536	1447804034456	7	4
1447804039505	1447804038521	6	5
1447805035330	1447805034299	5	6
1447805970284	1447805968577	6	5
1447806867340	1447806865636	7	4
1447807258573	1447807256772	8	3
1447807565784	1447807564621	7	4
1447809605926	1447809604765	8	3
1447812465949	1447812464624	9	2
1447816753971	1447816752344	10	1
1447817865982	1447817865022	9	2
1447829037448	1447829034469	9	2
1447844526763	1447844525900	8	3
1447850545543	1447850544298	7	4
1447850623492	1447850622238	6	5
1447852689544	1447852687778	6	5
1447852716508	1447852714407	3	8
1447853474658	1447853472855	0	11
1447854500624	1447854498755	1	10
1447854722392	1447854720494	2	9
1447855809211	1447855807152	1	10
1447857031156	1447857029822	0	11
1447859442564	1447859441036	1	10
1447859515524	1447859513347	3	8
1447859550170	1447859547928	4	7
1447859630816	1447859628547	6	5
1447859677521	1447859675303	7	4
1447862064402	1447862062739	7	4
1447862569747	1447862567253	8	3
1447863681233	1447863678602	7	4
1447874685193	1447874683797	6	5
1447875407194	1447875405257	7	4
1447875802806	1447875800791	9	2
