LastComm	LastUpdate	N_Bikes	N_Empty
1447721924483	1447720233759	10	1
1447723370954	1447723370121	11	0
1447749599178	1447749598039	10	1
1447762868979	1447762867603	9	2
1447766311258	1447766310190	7	4
1447767147336	1447767146617	6	5
1447767356201	1447767355470	5	6
1447767510361	1447767509617	4	7
1447767849834	1447767849022	3	8
1447767926334	1447767925551	2	9
1447768406822	1447768406033	1	10
1447769346463	1447769345613	0	11
1447769660198	1447769658325	2	9
1447769705505	1447769704004	4	7
1447772145784	1447772143669	4	7
1447772150477	1447772149448	3	8
1447790349843	1447790348252	4	7
1447792873120	1447792871981	3	8
1447795715759	1447795714513	4	7
1447796262417	1447796261301	5	6
1447797834495	1447797833262	6	5
1447798390489	1447798389081	7	4
1447799632459	1447799631796	6	5
1447800587539	1447800586132	7	4
1447804036536	1447804034456	7	4
1447804039505	1447804038521	6	5
1447805035330	1447805034299	5	6
1447805970284	1447805968577	6	5
1447806867340	1447806865636	7	4
1447807258573	1447807256772	8	3
1447807565784	1447807564621	7	4
1447809605926	1447809604765	8	3
1447812465949	1447812464624	9	2
1447816753971	1447816752344	10	1
1447817865982	1447817865022	9	2
1447829037448	1447829034469	9	2
1447844526763	1447844525900	8	3
1447850545543	1447850544298	7	4
1447850623492	1447850622238	6	5
1447852689544	1447852687778	6	5
1447852716508	1447852714407	3	8
1447853474658	1447853472855	0	11
1447854500624	1447854498755	1	10
1447854722392	1447854720494	2	9
1447855809211	1447855807152	1	10
1447857031156	1447857029822	0	11
1447859442564	1447859441036	1	10
1447859515524	1447859513347	3	8
1447859550170	1447859547928	4	7
1447859630816	1447859628547	6	5
1447859677521	1447859675303	7	4
1447862064402	1447862062739	7	4
1447862569747	1447862567253	8	3
1447863681233	1447863678602	7	4
1447874685193	1447874683797	6	5
1447875407194	1447875405257	7	4
1447875802806	1447875800791	9	2
1447888460795	1447888458753	10	1
1447888648005	1447888646193	11	0
1447890608112	1447890606703	10	1
1447894478008	1447894476464	9	2
1447894675482	1447894673014	10	1
1447895500322	1447895498762	9	2
1447902666956	1447902665163	10	1
1447932937941	1447932937246	9	2
1447939011070	1447939009990	8	3
1447939750348	1447939724059	7	4
1447939916502	1447939915758	6	5
1447940133836	1447940133338	5	6
1447940539630	1447940539282	3	8
1447940662714	1447940662175	2	9
1447940942257	1447940941145	3	8
1447941929015	1447941928557	2	9
1447944429271	1447944428617	1	10
1447944891654	1447944891010	0	11
1447956020390	1447956018484	1	10
1447956059849	1447956058043	2	9
1447956137627	1447956135654	4	7
1447956178421	1447956176526	5	6
1447957389129	1447957387805	6	5
1447965546142	1447965543622	7	4
1447966734342	1447966732442	6	5
1447967880914	1447967878223	7	4
1447968936772	1447968935396	8	3
1447971142817	1447971141351	9	2
1447971275445	1447971273844	10	1
1447972772232	1447972770683	11	0
1447978512652	1447978511351	10	1
1447979766434	1447979764295	11	0
1447980535644	1447980534208	10	1
1447980655291	1447980653802	8	3
1447981076499	1447981074325	9	2
1447982862755	1447982861175	8	3
1447984259968	1447984259653	7	4
1447985410256	1447985409870	6	5
1448001893186	1448001890665	6	5
1448022527421	1448022526658	5	6
1448023428652	1448023426678	5	6
1448023431572	1448023430741	4	7
1448024114977	1448024114103	3	8
1448025676278	1448025674388	3	8
1448025686252	1448025685287	1	10
1448025786898	1448025784941	1	10
1448025832520	1448025830844	0	11
1448028407873	1448028406936	1	10
1448031312414	1448031311055	2	9
