LastComm	LastUpdate	N_Bikes	N_Empty
1447721594236	1447721593479	6	14
1447723014438	1447723013318	5	15
1447723327250	1447723326429	4	16
1447725756533	1447725755886	2	18
1447727963978	1447727962977	1	19
1447729689597	1447729688663	0	20
1447765231854	1447765229573	1	19
1447765447084	1447765444673	2	18
1447767060278	1447767057872	4	16
1447767120168	1447767118479	3	17
1447767668989	1447767666565	4	16
1447767828162	1447767825799	5	15
1447768960542	1447768959555	6	14
1447769272296	1447769271374	7	13
1447769812424	1447769812090	6	14
1447770073819	1447770072854	7	13
1447771926036	1447771925322	6	14
1447773470204	1447773468950	7	13
1447774225242	1447774224015	8	12
1447775667301	1447775666315	9	11
1447775865593	1447775864244	10	10
1447776206701	1447776205404	11	9
1447776467803	1447776466384	12	8
1447776781107	1447776779694	13	8
1447776908444	1447776907063	14	7
1447777404505	1447777403741	13	8
1447777646390	1447777644994	14	7
1447777797665	1447777796165	15	6
1447778943379	1447778939922	14	7
1447781235169	1447781233505	15	6
1447781501143	1447781499665	15	6
1447782883822	1447782882385	16	5
1447782980873	1447782979425	17	4
1447784249030	1447784247426	17	4
1447784253777	1447784252948	16	5
1447784816211	1447784815301	15	6
1447785759383	1447785757720	16	5
1447786204815	1447786203128	15	6
1447788793701	1447788791895	16	5
1447789492129	1447789490334	17	4
1447789719096	1447789717902	16	5
1447789984167	1447789982306	17	4
1447793693816	1447793692375	16	5
1447794283691	1447794281937	14	7
1447795050904	1447795049400	13	8
1447795597979	1447795594128	12	9
1447796691482	1447796689852	11	10
1447797830573	1447797829723	10	11
1447798601988	1447798600333	9	12
1447798897989	1447798896345	10	11
1447799006639	1447799005381	9	12
1447799234073	1447799231252	7	14
1447799271502	1447799270542	6	15
1447799429431	1447799427892	5	16
1447799539384	1447799538410	4	17
1447799735890	1447799734579	3	18
1447800658155	1447800657122	2	19
1447800823654	1447800822475	3	18
1447800858365	1447800857328	2	19
1447801892103	1447801890981	1	20
1447802370654	1447802368490	0	21
1447810215707	1447810214065	0	20
1447810358189	1447810355875	1	19
1447816645701	1447816645131	0	20
1447820332837	1447820331328	1	19
1447822446533	1447822445598	0	20
1447829038790	1447829035400	0	20
1447851562377	1447851559998	1	19
1447852103662	1447852101148	2	18
1447852193152	1447852190668	3	17
1447853350232	1447853348378	4	16
1447853533993	1447853515527	5	15
1447853643908	1447853641954	4	16
1447853665761	1447853663070	5	15
1447853740650	1447853738782	4	16
1447854050766	1447854048188	5	15
1447854728774	1447854726178	6	14
1447854781008	1447854778207	7	13
1447854943832	1447854928777	8	12
1447855076740	1447855075682	9	11
1447855203415	1447855202403	10	10
1447855363206	1447855362774	10	9
1447855565175	1447855564128	11	8
1447855993114	1447855991923	12	7
1447856476545	1447856475413	13	6
1447856504553	1447856503368	14	5
1447856613880	1447856612732	15	4
1447856630877	1447856630103	17	2
1447858144693	1447858144118	16	3
1447858810164	1447858808862	17	2
1447860312583	1447860310922	17	2
1447860316024	1447860315319	16	3
1447860872340	1447860871399	15	4
1447861443806	1447861442313	16	3
1447861475638	1447861474858	15	4
1447861804477	1447861803003	16	3
1447862182015	1447862157529	15	4
1447865248109	1447865246961	15	3
1447865473277	1447865471513	16	2
1447865571355	1447865569613	17	1
1447866096497	1447866095389	16	2
1447866414748	1447866413619	15	3
1447867057996	1447867056833	14	4
1447867510723	1447867509566	13	5
1447869529349	1447869528146	14	4
1447870531557	1447870530953	13	5
1447870961965	1447870960368	13	5
1447870965542	1447870964913	12	6
1447871140645	1447871139288	13	5
1447872918957	1447872917497	14	4
1447874888591	1447874887724	14	4
1447875013414	1447875011787	15	3
1447876446637	1447876444938	16	2
1447876710936	1447876708913	16	2
1447876720817	1447876719471	15	3
1447877710192	1447877708378	16	2
1447878949882	1447878948404	15	3
1447879751546	1447879750325	14	4
1447880869212	1447880867918	11	7
1447882007024	1447882004955	12	6
1447882445373	1447882443950	11	7
1447883349882	1447883347969	10	8
