LastComm	LastUpdate	N_Bikes	N_Empty
1447721756228	1447720147834	0	11
1447727870833	1447727868989	1	10
1447728090169	1447728088935	0	11
1447728669093	1447728667161	1	10
1447732668194	1447732666699	0	11
1447736315202	1447736311569	0	10
1447742607527	1447742604022	0	10
1447760287991	1447760285761	1	9
1447762631240	1447762629610	0	10
1447762870681	1447762868377	1	9
1447764794733	1447764794069	0	10
1447765412070	1447765410695	1	9
1447766810363	1447766809574	0	10
1447767899866	1447767898993	2	8
1447767958354	1447767957501	5	6
1447768019320	1447768018446	5	5
1447768289949	1447768289072	4	6
1447769124781	1447769123246	5	5
1447770199514	1447770172296	6	4
1447771091764	1447771090716	5	5
1447772201676	1447772199807	6	4
1447773291806	1447773281992	6	4
1447773331810	1447773330256	5	5
1447773526360	1447773525137	4	6
1447777032628	1447777031251	3	7
1447778043981	1447778043162	2	8
1447778368686	1447778367485	1	9
1447779626308	1447779624674	2	8
1447781402109	1447781400062	2	8
1447781414177	1447781412866	1	9
1447781936175	1447781934448	2	8
1447782128808	1447782126320	2	8
1447782447071	1447782445978	3	7
1447782679590	1447782651024	3	7
1447782779647	1447782778256	2	8
1447783033850	1447783031653	2	8
1447783040250	1447783038988	1	9
1447783815240	1447783814073	0	10
1447785689718	1447785687793	1	9
1447789204775	1447789202617	2	8
1447791808039	1447791806039	1	9
1447793301664	1447793299987	0	10
1447793856307	1447793853956	2	8
1447793914064	1447793911726	4	7
1447793931052	1447793928996	5	6
1447794730092	1447794727586	6	5
1447796860284	1447796858399	5	6
1447797764136	1447797762764	6	5
1447799101477	1447799100347	5	6
1447799295582	1447799294722	4	7
1447800044285	1447800042755	5	6
1447800386968	1447800385408	6	5
1447802076413	1447802075420	5	6
1447804959823	1447804958025	6	5
1447807162255	1447807160951	5	6
1447808587143	1447808585020	6	5
1447811914041	1447811913848	8	3
1447814913466	1447814913147	10	1
1447816817168	1447816816742	9	2
1447817239863	1447817239389	8	3
1447820043512	1447820042137	9	2
1447820625033	1447820624367	8	3
1447844113327	1447844112207	7	4
1447847084553	1447847082623	8	3
1447849543258	1447849541083	9	2
1447851235015	1447851232416	9	2
1447851237964	1447851236455	8	3
1447852744094	1447852742492	7	4
1447854321301	1447854318425	7	4
1447854324192	1447854322482	6	5
1447854443226	1447854441538	5	6
1447856256891	1447856256461	4	7
1447856739543	1447856737792	4	7
1447856744764	1447856744272	3	8
1447856936874	1447856934332	4	7
1447858171654	1447858170227	5	6
1447860008728	1447860007995	4	7
1447861763224	1447861761219	4	7
1447861766246	1447861765490	3	8
1447864243556	1447864241606	2	9
1447865334433	1447865331391	3	8
1447865481987	1447865480267	4	7
1447865982347	1447865981297	2	9
1447868493972	1447868492818	1	10
1447869261050	1447869259799	0	11
1447873823196	1447873821975	1	10
1447875798266	1447875796490	1	10
1447875808745	1447875806508	0	11
1447877284480	1447877282968	1	10
1447877358316	1447877356833	3	8
1447877397951	1447877396387	4	7
1447877451136	1447877449296	5	6
1447879147130	1447879145546	6	5
1447879264687	1447879263719	5	6
1447881238860	1447881237145	6	5
1447881979589	1447881977730	7	4
1447882407556	1447882406477	6	5
1447883214798	1447883213616	5	6
1447884052955	1447884051790	4	7
1447884719346	1447884718030	5	6
1447884940132	1447884939519	4	7
1447885898877	1447885897871	3	8
1447889808168	1447889807147	2	9
1447892711296	1447892710188	1	10
1447893219643	1447893218528	0	11
1447893767954	1447893766145	1	10
1447895250357	1447895249085	0	11
1447900123111	1447900121787	1	10
1447901419644	1447901418944	0	11
1447902054645	1447902053156	1	10
1447902245972	1447902244609	1	10
1447902574304	1447902572898	2	9
1447906974413	1447906973323	1	10
1447910525419	1447910523258	2	9
1447915465879	1447915462851	2	9
1447932227415	1447932226155	3	8
1447938319855	1447938318507	2	9
1447938736404	1447938733029	1	10
1447939141342	1447939139609	2	9
1447940098528	1447940097396	1	10
1447941087731	1447941086520	0	11
1447943315977	1447943314200	1	10
1447944108139	1447944106328	2	9
1447944357921	1447944356045	3	8
1447945419197	1447945417990	2	9
1447948857825	1447948855812	3	8
1447952613291	1447952611446	1	10
1447953447559	1447953445863	0	11
1447956731903	1447956729386	1	10
1447957202886	1447957201504	0	11
1447957301848	1447957300021	2	9
1447957332337	1447957331203	3	8
1447957420665	1447957418842	6	5
1447958314423	1447958313275	5	6
1447960533263	1447960531288	6	5
