LastComm	LastUpdate	N_Bikes	N_Empty
1447721825825	1447721654015	11	6
1447722311291	1447722310427	10	7
1447722850752	1447722849883	9	8
1447726342452	1447726341367	8	9
1447728081715	1447728079890	9	8
1447730552804	1447730550864	10	7
1447733108689	1447733107131	9	8
1447743462985	1447743461327	10	7
1447761102799	1447761101545	9	8
1447764689691	1447764688189	11	6
1447765247146	1447765244435	11	6
1447765258648	1447765255949	10	7
1447765761504	1447765760737	9	8
1447765849209	1447765847708	10	7
1447766207173	1447766206384	9	8
1447767377195	1447767375558	10	7
1447767445393	1447767444516	9	8
1447767491902	1447767490339	10	7
1447767848300	1447767846339	10	7
1447767851711	1447767850684	9	8
1447768080675	1447768079069	10	7
1447768387619	1447768385958	11	6
1447768574579	1447768572399	11	6
1447768621468	1447768619767	11	6
1447768730738	1447768729130	12	5
1447768840464	1447768834088	13	4
1447771231425	1447771229983	12	5
1447771516289	1447771514514	13	4
1447773090361	1447773088488	14	3
1447773341179	1447773339868	15	2
1447777008990	1447777007448	16	1
1447778203006	1447778201403	15	2
1447780180053	1447780179434	14	3
1447780237920	1447780237305	13	4
1447781315583	1447781314127	14	3
1447781723632	1447781722255	15	2
1447783339245	1447783337751	16	2
1447783379055	1447783377750	15	2
1447783497779	1447783496975	16	1
1447786823133	1447786821933	15	2
1447786936091	1447786915835	16	1
1447791939674	1447791937535	17	0
1447792613111	1447792611697	16	1
1447793861967	1447793860522	15	2
1447793895165	1447793893701	14	3
1447794481705	1447794480811	15	2
1447795650266	1447795649960	14	3
1447796404034	1447796403327	12	5
1447798022715	1447798021499	13	4
1447798087452	1447798086070	14	3
1447798165058	1447798164565	12	5
1447798842762	1447798841612	13	4
1447798986329	1447798985786	12	5
1447799156143	1447799155551	11	6
1447799598112	1447799597406	10	7
1447800129278	1447800128035	11	6
1447800614546	1447800613915	10	7
1447801176124	1447801174788	9	8
1447801413025	1447801381650	10	7
1447801672357	1447801671696	9	8
1447801966529	1447801965516	8	9
1447803017801	1447803017015	7	10
1447803295128	1447803293615	8	9
1447803730828	1447803729147	9	8
1447804477930	1447804476310	10	7
1447804572575	1447804571040	11	6
1447804936086	1447804935187	10	7
