LastComm	LastUpdate	N_Bikes	N_Empty
1447721974572	1447721973634	24	9
1447722779019	1447722777537	25	8
1447724005088	1447724004349	24	9
1447724980926	1447724979397	25	8
1447727438188	1447727436506	26	7
1447729276938	1447729274964	25	8
1447730857827	1447730855917	26	7
1447731747700	1447731746593	27	6
1447734276927	1447734275662	28	5
1447742608845	1447742603907	28	5
1447755566947	1447755557177	28	5
1447755574909	1447755573497	27	6
1447759010749	1447759009415	26	7
1447760802904	1447760801952	25	8
1447761360626	1447761359832	24	9
1447761826321	1447761825490	23	10
1447763394974	1447763394051	22	11
1447763675747	1447763673865	22	11
1447763682438	1447763681507	21	12
1447764030277	1447764029329	20	13
1447764218870	1447764217511	19	14
1447764445935	1447764444952	18	15
1447765335621	1447765334582	17	16
1447765858749	1447765857680	16	17
1447766297223	1447766296020	15	18
1447766750401	1447766749272	14	19
1447767759731	1447767757861	12	21
1447767818664	1447767817483	11	22
1447767965952	1447767964435	10	23
1447768030386	1447768027766	10	23
1447768034240	1447768033041	9	24
1447768240944	1447768239564	8	25
1447768285273	1447768284059	7	26
1447768452964	1447768451742	6	27
1447768738268	1447768737011	8	25
1447768799629	1447768798049	10	23
1447768845842	1447768844269	12	21
1447768936368	1447768934460	15	18
1447769093113	1447769091850	14	19
1447769663246	1447769660925	13	20
1447769674378	1447769672779	12	21
1447770233565	1447770232220	11	22
1447770511375	1447770510022	10	23
1447771075323	1447771073560	9	24
1447772047671	1447772046211	8	25
1447773303576	1447773302041	7	26
1447774599239	1447774598308	9	24
1447774685581	1447774684298	12	21
1447774736945	1447774735593	14	19
1447774921651	1447774920706	13	20
1447776835167	1447776833396	12	21
1447776925480	1447776924706	11	22
1447779103225	1447779101330	11	22
1447779107045	1447779106136	10	23
1447780432923	1447780430940	10	23
1447780438995	1447780438007	9	24
1447783982432	1447783981173	8	25
1447785632320	1447785629870	8	25
1447785687917	1447785685629	7	26
1447785701289	1447785699222	6	27
1447786285591	1447786283285	7	26
1447786819720	1447786818300	6	27
1447787513978	1447787511783	7	26
1447788144058	1447788141899	8	25
1447788537065	1447788535558	7	26
1447790433461	1447790432831	6	27
1447792681275	1447792679717	7	26
1447792989295	1447792987756	8	25
1447794170448	1447794169017	9	24
1447798144881	1447798143397	10	23
1447798385504	1447798383699	11	22
1447798752358	1447798750537	12	21
1447799324752	1447799322947	13	20
1447799525267	1447799524085	12	21
1447799663353	1447799661459	13	20
1447799895465	1447799893587	14	19
1447800846604	1447800844627	15	18
1447801288132	1447801285977	16	17
1447801830290	1447801828297	17	16
1447802542677	1447802540697	18	15
1447802637906	1447802636533	17	16
1447802817954	1447802815938	18	15
1447803052777	1447803051374	17	16
1447803312510	1447803310392	18	15
1447803935349	1447803933976	19	14
1447804069251	1447804068503	18	15
1447804106078	1447804105334	17	16
1447804216143	1447804214646	18	15
1447804400601	1447804399683	17	16
1447804603812	1447804602657	19	14
1447804855782	1447804855003	18	15
1447806088972	1447806088101	17	16
1447806253287	1447806252402	16	17
1447806729954	1447806728359	15	18
1447808317994	1447808316656	16	17
1447808543435	1447808541726	17	16
1447809152038	1447809150376	18	15
1447810101100	1447810099958	17	16
