LastComm	LastUpdate	N_Bikes	N_Empty
1447721298999	1447720452960	4	7
1447724378228	1447724377198	3	8
1447728327744	1447728326159	2	9
1447729131935	1447729130024	3	8
1447732653785	1447732652282	2	9
1447732857184	1447732854943	3	8
1447737361374	1447737358875	4	7
1447757624477	1447757622008	4	7
1447757628375	1447757627797	3	8
1447758591713	1447758591081	2	9
1447761274904	1447761271876	3	8
1447761592152	1447761591038	2	9
1447762850164	1447762848744	3	8
1447764554145	1447764553189	2	9
1447766273471	1447766272417	1	10
1447767003371	1447767001983	2	9
1447767143362	1447767142798	1	10
1447767143362	1447767827688	0	11
1447770827662	1447770826156	1	10
1447770950806	1447770949393	2	9
1447771756629	1447771755114	3	8
1447771932796	1447771931244	4	7
1447772387302	1447772385714	5	6
1447776105226	1447776103443	6	5
1447776678568	1447776676380	6	5
1447776734032	1447776732744	4	7
1447777980090	1447777978067	3	8
1447782371133	1447782370541	2	9
1447783619475	1447783618173	3	8
1447784480754	1447784479672	4	7
1447784533396	1447784532028	5	6
1447787369877	1447787368206	6	5
1447789624431	1447789623316	5	6
1447790239882	1447790237658	5	6
1447790245009	1447790243792	4	7
1447791565131	1447791563928	3	8
1447793849420	1447793847668	1	10
1447796872461	1447796870636	2	9
1447799177214	1447799176010	1	10
1447799784676	1447799783065	0	11
1447800138828	1447800136864	1	10
1447801645188	1447801642976	2	9
1447803601412	1447803599908	1	10
1447807246749	1447807244314	2	9
1447809994494	1447809991963	3	8
1447810941515	1447810940123	4	7
1447816058978	1447816057044	5	6
1447821771604	1447821769442	6	5
1447824848829	1447824847539	7	4
1447843126801	1447843125545	6	5
1447849129295	1447849127643	5	6
1447851093159	1447851091334	4	7
1447852892892	1447852890991	3	8
1447853621759	1447853619083	4	7
1447853756985	1447853751289	3	8
1447854439634	1447854437916	4	7
1447854718814	1447854717124	5	6
1447854980270	1447854978573	6	5
1447855010723	1447855009689	5	6
1447855416804	1447855415094	6	5
1447856491373	1447856490228	5	6
1447857279786	1447857240235	6	5
1447858626083	1447858623874	7	4
1447858759301	1447858757324	8	3
1447859130510	1447859128244	9	2
1447860318963	1447860316854	10	1
1447865202723	1447865201010	10	1
1447865435578	1447865433850	9	2
1447869604685	1447869604264	8	3
1447871641003	1447871640549	7	4
1447872253513	1447872253015	6	5
1447873098748	1447873849539	5	6
1447877761299	1447877759754	5	6
1447879010665	1447879009365	4	7
1447879855603	1447879853314	4	7
1447879862340	1447879861353	3	8
1447881426787	1447881424980	4	7
1447882928658	1447882927594	5	6
1447883706083	1447883705017	6	5
