LastComm	LastUpdate	N_Bikes	N_Empty
1447721298999	1447720452960	4	7
1447724378228	1447724377198	3	8
1447728327744	1447728326159	2	9
1447729131935	1447729130024	3	8
1447732653785	1447732652282	2	9
1447732857184	1447732854943	3	8
1447737361374	1447737358875	4	7
1447757624477	1447757622008	4	7
1447757628375	1447757627797	3	8
1447758591713	1447758591081	2	9
1447761274904	1447761271876	3	8
1447761592152	1447761591038	2	9
1447762850164	1447762848744	3	8
1447764554145	1447764553189	2	9
1447766273471	1447766272417	1	10
1447767003371	1447767001983	2	9
1447767143362	1447767142798	1	10
1447767143362	1447767827688	0	11
1447770827662	1447770826156	1	10
1447770950806	1447770949393	2	9
1447771756629	1447771755114	3	8
1447771932796	1447771931244	4	7
1447772387302	1447772385714	5	6
1447776105226	1447776103443	6	5
1447776678568	1447776676380	6	5
1447776734032	1447776732744	4	7
1447777980090	1447777978067	3	8
1447782371133	1447782370541	2	9
1447783619475	1447783618173	3	8
1447784480754	1447784479672	4	7
1447784533396	1447784532028	5	6
1447787369877	1447787368206	6	5
1447789624431	1447789623316	5	6
1447790239882	1447790237658	5	6
1447790245009	1447790243792	4	7
1447791565131	1447791563928	3	8
1447793849420	1447793847668	1	10
1447796872461	1447796870636	2	9
1447799177214	1447799176010	1	10
1447799784676	1447799783065	0	11
1447800138828	1447800136864	1	10
1447801645188	1447801642976	2	9
1447803601412	1447803599908	1	10
1447807246749	1447807244314	2	9
1447809994494	1447809991963	3	8
1447810941515	1447810940123	4	7
1447816058978	1447816057044	5	6
1447821771604	1447821769442	6	5
1447824848829	1447824847539	7	4
1447843126801	1447843125545	6	5
1447849129295	1447849127643	5	6
1447851093159	1447851091334	4	7
1447852892892	1447852890991	3	8
1447853621759	1447853619083	4	7
1447853756985	1447853751289	3	8
1447854439634	1447854437916	4	7
1447854718814	1447854717124	5	6
1447854980270	1447854978573	6	5
1447855010723	1447855009689	5	6
1447855416804	1447855415094	6	5
1447856491373	1447856490228	5	6
1447857279786	1447857240235	6	5
1447858626083	1447858623874	7	4
1447858759301	1447858757324	8	3
1447859130510	1447859128244	9	2
1447860318963	1447860316854	10	1
1447865202723	1447865201010	10	1
1447865435578	1447865433850	9	2
1447869604685	1447869604264	8	3
1447871641003	1447871640549	7	4
1447872253513	1447872253015	6	5
1447873098748	1447873849539	5	6
1447877761299	1447877759754	5	6
1447879010665	1447879009365	4	7
1447879855603	1447879853314	4	7
1447879862340	1447879861353	3	8
1447881426787	1447881424980	4	7
1447882928658	1447882927594	5	6
1447883706083	1447883705017	6	5
1447885630578	1447885629956	5	6
1447887809382	1447887807905	6	5
1447891132253	1447891130572	7	4
1447892393655	1447892391863	8	3
1447896415283	1447896413275	9	2
1447906261115	1447906258754	10	1
1447915464580	1447915460933	10	1
1447930210879	1447930210370	9	2
1447930646015	1447930645478	8	3
1447936959473	1447936957863	9	2
1447938425224	1447938423006	9	2
1447938486753	1447938485539	7	4
1447939693682	1447939691458	7	4
1447939697852	1447939696674	6	5
1447941384730	1447941335739	6	5
1447942118283	1447942116866	7	4
1447942712272	1447942711522	7	4
1447943651283	1447943649665	8	3
1447944496131	1447944808212	7	4
1447945056927	1447945055365	8	3
1447945240724	1447945239788	9	2
1447945698231	1447945697163	8	3
1447946274040	1447946272652	9	2
1447946357916	1447946356555	9	1
1447946509060	1447946507255	9	2
1447947439246	1447947437185	9	2
1447947452258	1447947450783	8	3
1447948725952	1447948724037	9	2
1447948853899	1447948852741	8	3
1447949523399	1447949521101	9	2
1447950430347	1447950428227	10	1
1447956676049	1447956675421	9	2
1447957050107	1447957048787	10	1
1447964612522	1447964610403	10	1
1447972547993	1447972547127	9	2
1447974841435	1447974840472	8	3
1447975497770	1447975497128	7	4
1447980816558	1447980814851	8	3
1447982729703	1447982728588	7	4
1447984824948	1447984783662	8	3
1447987338160	1447987336620	7	4
1447987967352	1447987965548	8	3
1448015766355	1448015765511	7	4
1448022501732	1448022478762	8	3
1448022550976	1448022550625	8	3
1448025031626	1448025031669	7	4
1448025651112	1448025651157	6	5
1448026900118	1448026899460	7	4
1448028064501	1448028063752	8	3
1448029312010	1448029311021	9	2
1448029482553	1448029482349	8	3
1448030352004	1448030350971	9	2
1448030571229	1448030570957	7	4
1448031042327	1448031041392	8	3
1448031790435	1448031789284	9	2
1448032734555	1448032734112	8	3
1448034432430	1448034431231	9	2
1448035088781	1448035087464	10	1
1448036883900	1448036883209	9	2
1448039301441	1448039300586	8	3
1448040144025	1448040142429	9	2
1448043676884	1448043674533	8	3
1448044928585	1448044926437	8	3
1448044939944	1448044937489	8	3
1448045446998	1448045445070	9	2
1448046006907	1448046004989	10	1
1448046726888	1448046724869	11	0
1448048515073	1448048513645	10	1
1448053665196	1448053662436	9	2
1448057569972	1448057567925	8	3
1448059256913	1448059253663	8	3
1448059267699	1448059265174	7	4
1448060636469	1448060634236	6	5
1448060970065	1448060967362	5	6
1448063988480	1448063986026	4	7
1448068842175	1448068840875	5	6
1448073833746	1448073831860	5	6
1448073845436	1448073844010	4	7
1448112661594	1448112660687	3	8
1448113684487	1448113682848	2	9
1448114339372	1448114337684	1	10
1448114980736	1448114978995	2	9
1448118248790	1448118247512	1	10
1448118690520	1448118689054	0	11
1448120201701	1448120199625	1	10
1448120624892	1448120622864	2	9
1448128385816	1448128384948	1	10
1448132651488	1448132650344	0	11
1448141238344	1448141236494	1	10
1448142098890	1448142097015	2	9
1448151582900	1448151580289	3	8
1448152397297	1448152395369	2	9
1448154248229	1448154247800	1	10
1448156524032	1448156523440	0	11
1448159592365	1448159590834	1	10
1448169059699	1448169058753	2	9
1448174742507	1448174739742	2	9
1448195983437	1448195982265	1	10
1448201166658	1448201165014	2	9
1448204956815	1448204954935	3	8
1448210661234	1448210659489	2	9
1448225979985	1448225979254	3	8
1448227604975	1448227604143	4	7
1448228947294	1448228946313	5	6
1448233176859	1448233174330	4	7
1448233339586	1448233338223	3	8
1448237037276	1448237035803	4	7
1448237480746	1448237479898	3	8
1448252405953	1448252403550	4	7
1448282930954	1448282929483	5	6
1448284461693	1448284461529	4	7
1448284510935	1448284510769	3	8
1448286679923	1448286678888	4	7
1448287596849	1448287596381	3	8
1448288111922	1448288110745	4	7
1448288889112	1448288888249	3	8
1448289057473	1448289056202	4	7
1448289201056	1448289200581	3	8
1448289276799	1448289275654	4	7
1448289796004	1448289794805	5	6
1448290069156	1448290068580	4	7
1448292785603	1448292784114	5	6
1448293226402	1448293224964	6	5
1448298802750	1448298802310	5	6
1448299520114	1448299519795	4	7
1448300275111	1448300274739	3	8
1448303933585	1448303931809	3	8
1448303937101	1448303936483	2	9
1448305816128	1448305814704	3	8
1448307034484	1448307033035	4	7
