LastComm	LastUpdate	N_Bikes	N_Empty
1447449079918	1447448233700	7	12
1447449869327	1447449867577	8	11
1447450036260	1447450034519	9	10
1447450396289	1447450394450	10	9
1447450457915	1447450456643	9	10
1447450927536	1447450925724	10	9
1447451286836	1447451285363	9	10
1447451357197	1447451355852	12	7
1447451619640	1447451618292	11	8
1447451766052	1447451764757	10	9
1447452015377	1447452013940	9	10
1447452085375	1447452083589	10	9
1447452128792	1447452127399	9	10
1447452379999	1447452378671	8	11
1447452685961	1447452684545	7	12
1447452915277	1447452913814	6	13
1447452975642	1447452974094	5	14
1447453269013	1447453267140	6	13
1447453807870	1447453805327	6	13
1447453821263	1447453819033	5	14
1447453955595	1447453953579	5	14
1447454206774	1447454204767	6	13
1447454599475	1447454597928	5	14
1447454757748	1447454731188	6	13
1447455050925	1447455050434	6	13
1447455313689	1447455312653	7	12
1447455614740	1447455613588	8	11
1447456414312	1447456412390	8	11
1447456417333	1447456416743	7	12
1447456533591	1447456532499	8	11
1447456728520	1447456727338	9	10
1447457285055	1447457284452	8	11
1447457805353	1447457804704	7	12
1447459139711	1447459138459	8	11
1447459420458	1447459419084	7	12
1447461114142	1447461113208	8	11
1447461524160	1447461523394	7	12
1447462697984	1447462696996	6	13
1447462929508	1447462927998	7	12
1447463520036	1447463518518	8	11
1447467323504	1447467321797	8	11
1447467553920	1447467551387	9	10
1447470359230	1447470357642	10	9
1447471254747	1447471253313	11	8
1447471937233	1447471935378	12	7
1447472664645	1447472663844	11	8
1447474279400	1447474277558	12	7
