LastComm	LastUpdate	N_Bikes	N_Empty
1447721485698	1447712628547	19	3
1447723964261	1447723962810	20	2
1447725879089	1447725877542	19	3
1447729458430	1447729456633	21	1
1447732121889	1447732119798	22	0
1447762979483	1447762976888	21	1
1447763909771	1447763907899	19	3
1447763953513	1447763951268	17	5
1447764015851	1447764013379	15	7
1447764073868	1447764059773	13	8
1447766112575	1447766110488	14	7
1447766315397	1447766313249	15	6
1447766834153	1447766831939	16	5
1447767235497	1447767233338	17	4
1447768675451	1447768674139	18	3
1447769982058	1447769979588	19	2
1447771446862	1447771444369	20	1
1447772178923	1447772176402	19	2
1447777622167	1447777618918	20	1
1447779369059	1447779367428	19	2
1447780291780	1447780289288	20	1
1447780901943	1447780890218	20	1
1447780931058	1447780929525	19	2
1447781222571	1447781219028	20	1
1447783642157	1447783641019	16	5
1447783688676	1447783687051	15	7
1447787721457	1447787718914	14	8
1447792535558	1447792532307	14	8
1447792541229	1447792539249	13	9
1447794250670	1447794248748	14	8
1447794820450	1447794819314	13	9
1447795408037	1447795406297	14	8
1447797258975	1447797247878	14	8
1447797280739	1447797279458	13	9
1447799285516	1447799284281	14	8
1447801315211	1447801313676	13	9
1447806302380	1447806300607	14	8
1447815216903	1447815214577	15	7
1447816554522	1447816553176	14	8
1447820456119	1447820454010	15	7
1447829038696	1447829035137	15	7
1447845937429	1447845936046	14	8
1447848992302	1447848990298	13	9
1447851372527	1447851371269	14	8
1447851624385	1447851623149	15	7
1447851807134	1447851806031	15	7
1447852616143	1447852614889	16	6
1447853152830	1447853151529	17	5
1447853401317	1447853399998	18	4
1447853496693	1447853495320	19	3
1447853668971	1447853667686	20	2
1447856379756	1447856375989	20	2
1447856382976	1447856381286	19	3
1447856958114	1447856956318	20	2
1447857306617	1447857304229	21	1
1447858342984	1447858340339	22	0
1447862903335	1447862900544	21	1
1447862972826	1447862969122	19	3
1447863005803	1447863002913	18	4
1447863075078	1447863072562	16	6
1447863110392	1447863107800	15	7
1447863157266	1447863154675	14	8
1447863270182	1447863268496	12	10
1447864979848	1447864976699	13	9
1447866108711	1447866106776	12	10
1447866207694	1447866205988	13	9
1447866440048	1447866438596	12	10
1447867753596	1447867751592	11	11
1447869198203	1447869196168	12	10
1447869457667	1447869454588	13	9
1447870887028	1447870884238	14	8
1447872591778	1447872589542	13	9
1447872679102	1447872677849	12	10
1447872827886	1447872826665	11	11
1447873673170	1447873924798	11	11
1447873967506	1447873966194	10	12
1447874378085	1447874376753	9	13
1447875283070	1447875281639	10	12
1447876874782	1447876872317	11	11
1447877192191	1447877172214	11	11
1447877203819	1447877202294	10	12
1447877543650	1447877541242	8	14
1447880397986	1447880396616	9	13
1447880787181	1447880786550	11	11
1447881186901	1447881186582	10	12
1447882152215	1447882151791	9	13
1447882449086	1447882448783	8	14
1447882543586	1447882542676	9	13
1447884393425	1447884392353	8	14
1447884747252	1447884745726	9	13
1447885544881	1447885543182	8	14
1447891885869	1447891884345	9	13
1447904708932	1447904707345	10	12
1447935217745	1447935214189	10	12
1447935248315	1447935246856	9	13
