LastComm	LastUpdate	N_Bikes	N_Empty
1447721402067	1447721400829	17	6
1447722719982	1447722717914	18	5
1447723283901	1447723281863	19	4
1447724234823	1447724233355	18	5
1447725148153	1447725146623	17	6
1447726580969	1447726579869	18	5
1447729902984	1447729901465	19	4
1447732849171	1447732848247	18	5
1447742436046	1447742435318	17	6
1447761030744	1447761029042	18	5
1447762460761	1447762420545	17	6
1447764254758	1447764253551	16	7
1447765048144	1447765046875	15	8
1447765346621	1447765344123	14	9
1447766148025	1447766146471	13	10
1447766714216	1447766712161	14	9
1447767777921	1447767776452	13	10
1447767925590	1447767923399	14	9
1447770827563	1447770825641	15	8
1447771682971	1447771681474	14	9
1447779984707	1447779982352	15	8
1447781526048	1447781522919	15	8
1447781529358	1447781527445	14	9
1447781702497	1447781699711	15	8
1447782609672	1447782607486	14	9
1447782673719	1447782670708	14	9
1447782686903	1447782684483	13	10
1447783502730	1447783500676	12	11
1447783785717	1447783782934	13	10
1447784159840	1447784157739	12	11
1447785542969	1447785542173	11	12
1447787223845	1447787222355	12	11
1447789675424	1447789674156	11	12
1447790023903	1447790022783	10	13
1447794337043	1447794334754	11	12
1447794453763	1447794451726	12	11
1447794754648	1447794752493	13	10
1447795094573	1447795081698	14	9
1447795200651	1447795198693	13	10
1447796032985	1447796031098	14	9
1447796074954	1447796072458	14	9
1447796369069	1447796367476	13	10
1447797016753	1447797014371	13	10
1447797022503	1447797020848	12	11
1447797908846	1447797906905	11	12
1447798114017	1447798111661	12	11
1447798295118	1447798292781	13	10
1447798501275	1447798499540	12	11
1447798827802	1447798825805	12	11
1447798833311	1447798832395	11	12
1447802748208	1447802746971	10	13
1447803078068	1447803076220	11	12
1447803431122	1447803428610	11	12
1447803434222	1447803432977	10	13
1447803698641	1447803697368	9	14
1447806668744	1447806666536	10	13
1447807788407	1447807785598	10	13
1447807802804	1447807800978	9	14
1447808033689	1447808031462	10	13
1447809179833	1447809177036	10	13
1447809183082	1447809181423	9	14
1447809459057	1447809457373	8	15
1447809722627	1447809719865	8	15
1447809733159	1447809730059	7	16
1447810672159	1447810669775	8	15
1447810836971	1447810834540	9	14
1447813655889	1447813655519	8	15
1447813747729	1447813747231	7	16
1447814580852	1447814579767	8	15
1447815729833	1447815729025	7	16
1447816049977	1447816048194	8	15
1447820201142	1447820199627	9	14
1447821924014	1447821923069	8	15
1447822342544	1447822341371	7	16
1447827245736	1447827243747	8	15
1447829039455	1447829035143	8	15
1447851344529	1447851343288	7	16
1447851556727	1447851555458	6	17
1447852428669	1447852427348	5	18
1447853219527	1447853217479	6	17
1447853835322	1447853833902	5	18
1447854928145	1447854926041	6	17
1447857395079	1447857380902	7	16
1447857477890	1447857476761	7	16
1447857578236	1447857577517	6	17
1447859944438	1447859943550	5	18
1447865703203	1447865701068	6	17
1447865853486	1447865850831	5	18
1447866098015	1447866096049	6	17
1447866674409	1447866672322	7	16
1447866751392	1447866749065	8	15
1447866870439	1447866868340	9	14
1447867338465	1447867336406	10	13
1447867699213	1447867697122	11	12
1447868327039	1447868325537	10	13
1447868574132	1447868571949	10	13
1447869139825	1447869137416	11	12
1447869191002	1447869189436	10	13
1447869612645	1447869611048	9	14
1447870643104	1447870641435	8	15
1447871042084	1447871040368	7	16
1447872449684	1447872449109	6	17
1447875622263	1447875620420	6	17
1447875625763	1447875625277	5	18
1447876225232	1447876223636	5	18
1447876228813	1447876228280	4	19
1447876411184	1447876409971	5	18
1447877322409	1447877321190	6	17
1447877634975	1447877633652	7	16
1447880459510	1447880457880	8	15
1447881281619	1447881279867	9	14
