LastComm	LastUpdate	N_Bikes	N_Empty
1447448866331	1447444215242	13	14
1447451102436	1447451101150	14	13
1447451381464	1447451380865	13	14
1447453623416	1447453621964	14	13
1447454504559	1447454503753	13	14
1447458042995	1447458041250	14	13
1447463145570	1447463145077	13	14
1447465305856	1447465304513	14	13
1447465689699	1447465688326	15	12
1447465983900	1447465983052	16	11
1447467691889	1447467691065	15	12
1447468484283	1447468482862	14	13
1447468942679	1447468935652	14	13
1447468942679	1447468941808	13	14
1447470519388	1447470518082	14	13
1447480599503	1447480598368	13	14
1447483128997	1447483320219	12	15
1447509037223	1447509035169	11	16
1447513477484	1447513475791	10	17
1447514454814	1447514452447	11	16
1447519769147	1447519767271	13	14
1447521085651	1447521084477	12	15
1447525173121	1447525171391	10	17
1447527706905	1447527705286	9	18
1447529488585	1447529486188	10	17
1447529881373	1447529878997	11	16
1447531088873	1447531087027	13	14
1447533482183	1447533480818	14	13
1447534291842	1447534290169	13	14
1447534309789	1447534308337	12	15
1447534449756	1447534448229	12	15
1447534550999	1447534549258	11	16
1447536406928	1447536404439	11	16
1447536415016	1447536413771	10	17
1447541146721	1447541144150	9	18
1447541760790	1447541759178	8	19
1447542061031	1447542059265	12	15
1447554802677	1447554801008	13	14
1447555059823	1447555058108	14	13
1447558575569	1447558573979	15	12
