LastComm	LastUpdate	N_Bikes	N_Empty
1447448768498	1447447922573	9	6
1447449655117	1447449654465	8	7
1447451437341	1447451435808	9	6
1447452339790	1447452338952	10	5
1447452417456	1447452415959	11	4
1447452514586	1447452513038	12	3
1447453399866	1447453398288	13	2
1447453556285	1447453533479	14	1
1447456836981	1447456834708	14	1
1447456848768	1447456847304	13	2
1447459224206	1447459222915	12	3
1447459545824	1447459543798	13	2
1447460235965	1447460233938	14	1
1447461170682	1447461168557	15	0
1447462362777	1447462362475	14	1
1447462692606	1447462692364	13	2
1447468227303	1447468225998	14	1
1447479743029	1447479740918	15	0
