LastComm	LastUpdate	N_Bikes	N_Empty
1447721248749	1447721247620	9	22
1447722817751	1447722782428	8	23
1447724707865	1447724705482	8	23
1447724711780	1447724710460	7	24
1447725562980	1447725561590	8	23
1447726163090	1447726160852	8	23
1447726168056	1447726166660	7	24
1447726513776	1447726512276	6	25
1447732664234	1447732662457	5	26
1447734522533	1447734521522	4	27
1447740230448	1447740228377	5	26
1447742607786	1447742602570	5	26
1447763732154	1447763731234	4	27
1447763904474	1447763902877	5	26
1447764763288	1447764760317	5	26
1447764786556	1447764784915	4	27
1447765011393	1447765009736	5	26
1447765738574	1447765736838	6	25
1447766021382	1447766019638	7	24
1447766209263	1447766208201	11	20
1447766251278	1447766249892	14	17
1447766428710	1447766426853	15	16
1447767396306	1447767394436	16	15
1447767648373	1447767647188	15	16
1447767837082	1447767835207	16	15
1447768815938	1447768812977	17	14
1447768959677	1447768957675	16	15
1447769084683	1447769082567	17	14
1447769294774	1447769292888	18	13
1447769344859	1447769343614	17	14
1447769675081	1447769673770	16	15
1447770569424	1447770553168	17	14
1447770631342	1447770629018	17	14
1447771400544	1447771398456	18	13
1447771827075	1447771825048	19	12
1447772069435	1447772067913	18	13
1447772237601	1447772235414	19	12
1447773836259	1447773834116	20	11
1447774239451	1447774237306	21	10
1447775696039	1447775693787	22	9
1447776782503	1447776780832	21	10
1447779535339	1447779533787	22	9
1447780464000	1447780462617	23	8
1447781063866	1447781062895	22	9
1447781838238	1447781837057	20	11
1447781927847	1447781926836	19	12
1447781998862	1447781997754	18	13
1447782907016	1447782905946	17	14
1447783047128	1447783045418	18	13
1447783537920	1447783536140	19	12
1447784825304	1447784823374	18	13
1447785955545	1447785954270	19	12
1447786838476	1447786837166	18	13
1447787778542	1447787776497	19	12
1447791146655	1447791145071	20	11
1447791630116	1447791629339	20	11
1447792233764	1447792232434	20	11
1447792237853	1447792237423	19	12
1447793203942	1447793202264	19	12
1447793209115	1447793208602	18	13
1447793292410	1447793291214	19	12
1447793503853	1447793503345	17	14
1447793559942	1447793559426	16	15
1447794444573	1447794444011	15	16
1447794500166	1447794499602	14	17
1447794554249	1447794553682	13	18
1447795148455	1447795147853	12	19
1447796076907	1447796076213	11	20
1447796259321	1447796258620	10	21
1447796810315	1447796808834	11	20
1447796936282	1447796935537	10	21
1447797054594	1447797053204	11	20
1447797215059	1447797214292	10	21
1447797439865	1447797438750	8	23
1447798633141	1447798631634	9	22
1447799983821	1447799981947	9	22
1447799989109	1447799988144	8	23
1447801068925	1447801067096	8	23
1447801074529	1447801073562	7	24
1447801248161	1447801246872	6	25
1447801663056	1447801661344	7	24
1447801917046	1447801915700	6	25
1447802716276	1447802714563	7	24
1447802910880	1447802909218	8	23
1447803427140	1447803424945	8	23
1447803454934	1447803453841	6	25
1447804298139	1447804296984	7	24
1447806030761	1447806028356	7	24
1447806094417	1447806036534	6	25
1447807400352	1447807399040	7	24
1447809072484	1447809071279	8	23
1447812154667	1447812153080	9	22
1447813245086	1447813244269	8	23
1447814102111	1447814100542	9	22
1447822559484	1447822558311	10	21
1447823516119	1447823515676	9	22
1447823663012	1447823661938	10	21
1447826870261	1447826869149	9	22
1447829368151	1447829366652	10	21
1447850427533	1447850426641	9	22
1447850838462	1447850836592	10	21
1447851348781	1447851347151	12	19
1447851850964	1447851849221	13	18
1447851991998	1447851990351	14	17
1447852127895	1447852126331	14	17
1447853292341	1447853290593	16	15
1447853813382	1447853811592	17	14
1447854141115	1447854139301	19	12
1447854214016	1447854212167	20	11
1447854365352	1447854363611	21	10
1447854786577	1447854785408	22	9
1447855021931	1447855020152	23	8
1447855075442	1447855073522	24	7
1447855161134	1447855159878	23	8
1447855304432	1447855303099	22	9
1447855490952	1447855489757	21	10
1447855908482	1447855906611	22	9
1447856033293	1447856031171	23	8
1447856117128	1447856115301	24	7
1447856263624	1447856262362	25	6
1447856485448	1447856484185	24	7
1447856991289	1447856990002	23	8
1447858210649	1447858209264	22	9
1447858770790	1447858768641	23	8
1447859611551	1447859609181	24	7
1447860403696	1447860401867	25	6
1447861215894	1447861213691	26	5
1447861561557	1447861559194	25	6
1447865443455	1447865442593	24	7
1447866075775	1447866074892	23	8
1447866252159	1447866251264	22	9
1447866379985	1447866379084	21	10
1447866599456	1447866597860	22	9
1447866789357	1447866788418	23	8
1447866883124	1447866882192	22	9
1447867265198	1447867263269	22	9
1447867273003	1447867272034	21	10
1447869026584	1447869025512	20	11
1447869267029	1447869265368	21	10
1447869784295	1447869783139	20	11
1447870846596	1447870844798	21	10
1447871546423	1447871544657	23	8
1447872256028	1447872254116	24	7
1447873370175	1447873368204	22	9
1447874461540	1447874460129	21	10
1447874960658	1447874958579	22	9
1447875561339	1447875559182	23	8
1447876006911	1447876004717	24	7
1447876065048	1447876062843	25	6
1447878446696	1447878424193	24	7
1447879180049	1447879178914	26	5
1447879222134	1447879218894	25	6
1447879343288	1447879324533	24	7
1447879399523	1447879398182	23	8
1447879439190	1447879438415	22	9
1447880018407	1447880017243	21	10
1447880216746	1447880215910	20	11
1447881183850	1447881182254	18	13
1447881552588	1447881551693	17	14
1447881652978	1447881652072	16	15
1447881869045	1447881868113	15	16
1447882326066	1447882325077	14	17
1447883198905	1447883197567	15	16
1447883273508	1447883272486	14	17
1447883712169	1447883689296	14	17
1447883737176	1447883736133	13	18
