LastComm	LastUpdate	N_Bikes	N_Empty
1447721617080	1447721615843	0	14
1447724792851	1447724791237	1	13
1447725606073	1447725605072	0	14
1447742607542	1447742604958	0	14
1447758745984	1447758744758	1	13
1447761337663	1447761336202	2	12
1447761388965	1447761387497	3	11
1447762061092	1447762059657	4	10
1447763081516	1447763079928	5	9
1447763399755	1447763398104	6	8
1447763513752	1447763512287	7	7
1447763692774	1447763691179	8	6
1447764908230	1447764906537	9	5
1447765390437	1447765389153	8	6
1447765462874	1447765461868	9	5
1447765916362	1447765914545	10	4
1447766498744	1447766496977	11	3
1447767002931	1447767001863	10	4
1447767022082	1447767020134	11	3
1447767108914	1447767106988	12	2
1447767437784	1447767436658	13	1
1447767534383	1447767532649	11	3
1447767590114	1447767588290	9	5
1447767613791	1447767612021	8	6
1447767711740	1447767709988	6	8
1447767760156	1447767758440	4	10
1447767842549	1447767840773	3	11
1447768113919	1447768112093	4	10
1447768202187	1447768200737	6	8
1447768310004	1447768308565	5	9
1447768348980	1447768347198	6	8
1447768508016	1447768506199	7	7
1447768654069	1447768651998	8	6
1447769037439	1447769035517	9	5
1447770091700	1447770089679	10	4
1447771114147	1447771113077	11	3
1447771233376	1447771232966	10	4
1447771303937	1447771302707	11	3
1447772346546	1447772345427	12	2
1447774300262	1447774299641	11	3
1447774663321	1447774662682	10	4
1447775286628	1447775285187	12	2
1447778537855	1447778536387	13	1
1447782885660	1447782884150	12	3
1447782953777	1447782951979	9	6
1447784125478	1447784123347	9	6
1447784135995	1447784133759	8	7
1447787214050	1447787190364	8	7
1447790147707	1447790147544	7	8
1447790561427	1447790560534	8	7
1447791802280	1447791801944	10	5
1447792109609	1447792109335	9	6
1447792172844	1447792172527	8	7
1447793933510	1447793932444	9	6
1447794751089	1447794750674	8	7
1447796599497	1447796598283	9	6
1447797328457	1447797327156	10	5
1447797761293	1447797760665	9	6
1447797924924	1447797923318	9	6
1447797931027	1447797930433	7	8
1447798278053	1447798277432	6	9
1447798982764	1447798982082	5	10
1447799193587	1447799192929	4	11
1447799218865	1447799218160	3	12
1447800626008	1447800625259	2	13
1447800729828	1447800728900	1	14
1447802818846	1447802817598	1	14
1447802832505	1447802831942	0	15
1447808282836	1447808281565	1	14
1447810249307	1447810248524	0	15
1447819213016	1447819211485	1	14
1447845051826	1447845049699	2	13
1447847385733	1447847383953	3	12
1447848046847	1447848045184	4	11
1447848782157	1447848780304	5	10
1447849376156	1447849374273	6	9
1447851678473	1447851677160	5	10
1447851807596	1447851805704	6	9
1447851854700	1447851852769	7	8
1447852262571	1447852260434	8	7
1447852294711	1447852293400	7	8
1447852502242	1447852500224	8	7
1447852528027	1447852525983	9	6
1447853363599	1447853361603	10	5
1447853900319	1447853898179	12	3
1447854202445	1447854200261	14	1
1447855341566	1447855339307	12	3
1447855393962	1447855391525	10	5
1447855459594	1447855457516	7	8
1447856807873	1447856805554	8	7
1447857697800	1447857696183	7	8
