LastComm	LastUpdate	N_Bikes	N_Empty
1447722006683	1447722005599	8	2
1447728096475	1447728094928	9	1
1447729261659	1447729260752	8	2
1447730388916	1447730387943	7	3
1447750291485	1447750290253	8	2
1447761130466	1447761129786	9	1
1447768077830	1447768077261	8	2
1447768640793	1447768639628	9	1
1447779044855	1447779043733	8	2
1447780132519	1447780129558	9	1
1447795393121	1447795391750	8	2
1447797474851	1447797472793	9	1
1447798403732	1447798401035	9	1
1447798409732	1447798408178	8	2
1447799327677	1447799326126	7	3
1447799975074	1447799973435	6	4
1447801515723	1447801514007	5	5
1447803649890	1447803647273	4	6
1447803869359	1447803868793	3	7
1447805663827	1447805663114	2	8
1447806829379	1447806828188	3	7
1447809800900	1447809800075	2	8
1447810963024	1447810961580	3	7
1447811143226	1447811141789	4	6
1447815293112	1447815291214	5	5
1447829045633	1447829034969	5	5
1447853530327	1447853528647	6	4
1447853697109	1447853695446	7	3
1447854019895	1447854017659	7	3
1447854023076	1447854021692	6	4
1447854117088	1447854115382	7	3
1447854589565	1447854587982	6	4
1447855372823	1447855370807	7	3
1447855758177	1447855756327	8	2
1447860923157	1447860921016	9	1
1447872763922	1447872761646	8	2
1447874773401	1447874771208	9	1
1447875434700	1447875433034	8	2
1447875910121	1447875909120	7	3
1447876001666	1447876000139	8	2
1447876252576	1447876251583	7	3
1447878705532	1447878703507	7	3
1447878713252	1447878712113	6	4
1447879145078	1447879143754	5	5
1447880494234	1447880492989	4	6
1447881004480	1447881003217	5	5
1447884269152	1447884267159	4	6
1447884952618	1447884951122	2	8
1447886085258	1447886083103	3	7
1447886816672	1447886814346	4	6
1447887385775	1447887383546	5	5
1447887559644	1447887557407	6	4
1447888227869	1447888226093	5	5
1447889807900	1447889806171	4	6
1447889891906	1447889889587	5	5
1447894148462	1447894147512	4	6
1447894453947	1447894452407	5	5
1447899481925	1447899480038	6	4
1447901157282	1447901155904	5	5
1447910391150	1447910390543	4	6
1447915228407	1447915226938	5	5
1447916092955	1447916091942	4	6
1447933647064	1447933645188	5	5
1447933710096	1447933709369	6	4
1447934102987	1447934102444	5	5
1447935816585	1447935815757	6	4
1447940003727	1447940002649	5	5
1447940624010	1447940623423	4	6
1447940887255	1447940886653	3	7
1447941367428	1447941366228	4	6
1447942354511	1447942353286	5	5
1447943679546	1447943678218	6	4
1447944096627	1447944095267	7	3
1447944491263	1447944489883	8	2
1447944834570	1447944833178	9	1
1447953232457	1447953231106	8	2
1447955168038	1447955165997	9	1
