LastComm	LastUpdate	N_Bikes	N_Empty
1447721379783	1447720264275	16	2
1447722184090	1447722170976	16	2
1447722314631	1447722313003	17	1
1447724642463	1447724641449	16	2
1447727163007	1447727161179	17	1
1447742607610	1447742603974	17	1
1447758793394	1447758791895	16	2
1447764226168	1447764223690	16	1
1447764301174	1447764298463	16	2
1447764450109	1447764447554	14	4
1447764498176	1447764495644	12	6
1447765479657	1447765478145	13	5
1447765570483	1447765569646	12	6
1447765919869	1447765918233	13	5
1447765996688	1447765995113	14	4
1447766454853	1447766453967	13	5
1447766749478	1447766747786	14	4
1447766870883	1447766869917	13	5
1447767275709	1447767274716	12	6
1447767871044	1447767869357	13	5
1447768632515	1447768629475	14	4
1447768754685	1447768753649	13	5
1447768858858	1447768857132	14	4
1447769008476	1447768997013	15	3
1447769293477	1447769291643	16	2
1447770339781	1447770337711	17	1
1447771224731	1447771223491	16	2
1447771312133	1447771310878	15	3
1447774604318	1447774602195	16	2
1447776006835	1447776004682	17	1
1447783936648	1447783935375	15	3
1447784002856	1447783996176	13	5
1447784040843	1447784038776	11	7
1447784084359	1447784081598	9	9
1447784758096	1447784756188	10	8
1447786168063	1447786166615	11	7
1447792781028	1447792778527	12	6
1447793158554	1447793156161	11	7
1447795560103	1447795832526	10	8
1447797241004	1447797239716	11	7
1447797980013	1447797979361	10	8
1447798156887	1447798156231	9	9
1447798760034	1447798759333	8	10
1447799229437	1447799228709	7	11
1447799288395	1447799287360	5	13
1447799724445	1447799723027	6	12
1447799991318	1447799989926	7	11
1447800281579	1447800280036	8	10
1447801036725	1447801035256	9	9
1447801489354	1447801488170	8	10
1447801821836	1447801820286	9	9
1447801954757	1447801953848	7	11
1447802864814	1447802863055	8	10
1447804057849	1447804056045	9	9
1447805117617	1447805115797	10	8
1447805872403	1447805870677	11	7
1447807542782	1447807540699	12	6
1447810711145	1447810710042	13	5
1447816892596	1447816891759	12	6
1447818236516	1447818234984	13	5
1447823458364	1447823458101	12	6
1447847355463	1447847353395	13	5
1447847631145	1447847629354	12	6
1447847679878	1447847678483	10	8
1447847735110	1447847733275	9	9
1447847849466	1447847847565	7	11
1447850743010	1447850740876	8	10
1447851251710	1447851249596	9	9
1447852237581	1447852236385	10	8
1447852300952	1447852299815	11	7
1447852733575	1447852732972	12	6
1447852759413	1447852758574	12	6
1447852940720	1447852940380	11	7
1447854031820	1447854031378	10	8
1447854176839	1447854174435	11	7
1447854582281	1447854581035	12	6
1447854964667	1447854964159	11	7
1447855044461	1447855043788	10	8
1447855751802	1447855746935	11	7
1447855887238	1447855885935	12	6
1447856011151	1447856009894	13	5
1447856032075	1447856030755	14	4
1447856452206	1447856451600	13	5
1447857218893	1447857217475	14	4
1447861598867	1447861597175	15	3
1447862300844	1447862299851	14	4
1447862677635	1447862675968	15	3
1447868716806	1447868715502	16	2
1447868752763	1447868751615	16	2
1447877305118	1447877303452	15	3
1447879649496	1447879647024	16	2
1447881679333	1447881678501	15	3
1447882258978	1447882257896	14	4
1447883273123	1447883271242	15	3
1447883575694	1447883573863	16	2
