LastComm	LastUpdate	N_Bikes	N_Empty
1447721997613	1447718067737	15	0
1447722560982	1447722559090	14	1
1447724374786	1447724372216	15	0
1447762124842	1447762123735	14	1
1447765060128	1447765058805	15	0
1447765083208	1447765081890	14	1
1447765133869	1447765132551	13	2
1447765350460	1447765349131	12	3
1447767655288	1447767653511	11	4
1447768144377	1447768142396	10	5
1447768199947	1447768167371	8	7
1447768390893	1447768389030	7	8
1447768438582	1447768436691	6	9
1447768706281	1447768704161	5	10
1447769287574	1447769285556	4	11
1447770198591	1447770196901	3	12
1447770363539	1447770361802	2	13
1447770800450	1447770798691	1	14
1447771553549	1447771551095	0	15
1447774015730	1447774014768	2	13
1447774067460	1447774066012	5	10
1447774087805	1447774086272	6	9
1447775010500	1447775009412	5	10
1447778304567	1447778302913	4	11
1447780638268	1447780636227	5	10
1447782094757	1447782093198	7	8
1447782406250	1447782404178	8	7
1447785178746	1447785176347	9	6
1447786962560	1447786961232	8	7
1447788468740	1447788467422	7	8
1447788956484	1447788955148	6	9
1447790300094	1447790297268	6	9
1447790303486	1447790302012	5	10
1447792236318	1447792234166	6	9
1447792385214	1447792383057	7	8
1447793407692	1447793405406	8	7
1447793567106	1447793564107	8	7
1447793572992	1447793571323	7	8
1447794903467	1447794901122	8	7
1447795531434	1447795528996	9	6
1447796294448	1447796292027	10	5
1447797212008	1447797209457	11	4
1447798607623	1447798604817	12	3
1447799393896	1447799391227	13	2
1447800568733	1447800565857	14	1
1447800724921	1447800722661	13	2
1447802159952	1447802157899	13	2
1447802164918	1447802164148	12	3
1447802631594	1447802630341	13	2
1447803242475	1447803241018	14	1
1447803718930	1447803717418	15	0
1447807597714	1447807596313	14	1
1447808059968	1447808058308	15	0
1447815345586	1447815344373	14	1
1447826555300	1447826552967	15	0
1447829038680	1447829034366	15	0
1447843816183	1447843813963	14	1
1447848756139	1447848753367	14	1
1447848760517	1447848759232	13	2
1447850684666	1447850683253	12	3
1447851297916	1447851295268	12	3
1447851314586	1447851313113	11	4
1447851657728	1447851656227	10	5
1447851774748	1447851773207	11	4
1447852507180	1447852504938	12	3
1447854181396	1447854179501	11	4
1447854323612	1447854320789	10	5
1447854381613	1447854379932	8	7
1447854660442	1447854658207	8	7
1447854739489	1447854737107	9	6
1447855000944	1447854998704	8	7
1447855364770	1447855362497	9	6
1447855522860	1447855520497	10	5
1447856061603	1447856059802	9	6
1447856456816	1447856454933	8	7
1447858139437	1447858137437	7	8
1447859336337	1447859335335	6	9
1447859462861	1447859462326	5	10
1447861141798	1447861140599	6	9
1447861505337	1447861504176	5	10
1447863857312	1447863855930	4	11
1447865132987	1447865131457	5	10
1447865276618	1447865275177	6	9
1447865914230	1447865902242	7	8
1447866666978	1447866665860	8	7
1447866772145	1447866770409	9	6
1447867437357	1447867436228	8	7
1447868187472	1447868185750	7	8
1447869302656	1447869301433	6	9
1447873675440	1447873674053	7	8
1447874615792	1447874614453	8	7
1447874989739	1447874989252	7	8
1447876596740	1447876596057	6	9
1447877091471	1447877090106	7	8
1447877237559	1447877236859	6	9
1447878568352	1447878566912	7	8
1447879439242	1447879438104	6	9
1447879777111	1447879775338	8	7
1447880397126	1447880396228	7	8
1447882194209	1447882192538	8	7
1447885085175	1447885083267	9	6
1447885161863	1447885160032	10	5
1447885644122	1447885642829	10	5
1447888341377	1447888339729	11	4
1447889933421	1447889931728	12	3
1447890976780	1447890975715	11	4
1447891231006	1447891229299	12	3
1447891439775	1447891438669	13	2
1447893291165	1447893289338	14	1
1447894014956	1447894012998	15	0
1447894757694	1447894756358	14	1
1447895258374	1447895256290	15	0
1447896788729	1447896787245	14	1
1447899112294	1447899109947	15	0
1447938928844	1447938927152	14	1
1447939392026	1447939390716	13	2
1447939426368	1447939425345	12	3
1447940153589	1447940152529	11	4
1447940286194	1447940285116	10	5
1447941026715	1447941025552	9	6
1447941163005	1447941161829	8	7
1447941242290	1447941241107	7	8
1447941300850	1447941299552	6	9
1447941473082	1447941471279	7	8
1447941851585	1447941849668	8	7
1447942034703	1447942033405	7	8
1447942144684	1447942143476	6	9
1447944216644	1447944215275	5	10
1447944812825	1447944811414	4	11
1447945560270	1447945558072	3	12
1447946797895	1447946796920	2	13
1447947970325	1447947960957	3	12
1447947993028	1447947992041	2	13
1447948255094	1447948253349	3	12
1447949336093	1447949335003	2	13
1447954994987	1447954993172	1	14
1447961747968	1447961747484	0	15
1447962159249	1447962158024	1	14
1447962322356	1447962321266	2	13
1447963625914	1447963617597	3	12
1447965543668	1447965542246	4	11
1447966273453	1447966272532	3	12
1447968944529	1447968943117	4	11
1447969638715	1447969637046	5	10
1447969943399	1447969941761	6	9
1447971179659	1447971177826	7	8
1447971452371	1447971450487	8	7
1447971699188	1447971697607	8	7
1447971875349	1447971874149	7	8
1447971907923	1447971905897	8	7
1447972484496	1447972482587	9	6
1447973074246	1447973072955	8	7
1447973111819	1447973110389	8	6
1447973661419	1447973659317	9	5
1447973728829	1447973726886	10	4
1447973906816	1447973905176	11	3
1447974320647	1447974319262	10	4
1447974539980	1447974537877	11	3
1447974711700	1447974710259	12	2
1447975555727	1447975554240	13	1
1447975727807	1447975726360	14	0
1447978974950	1447978973803	13	1
1447980768429	1447980766589	14	0
1447981808991	1447981806730	14	0
1447981812240	1447981810946	13	1
1447983184748	1447983183086	12	2
1447985667858	1447985665530	13	1
1447986628013	1447986625639	14	0
1447988570140	1447988568379	13	1
