LastComm	LastUpdate	N_Bikes	N_Empty
1447721820130	1447721818929	6	5
1447726002356	1447726001153	6	5
1447726092778	1447726091490	7	4
1447726676849	1447726675628	8	3
1447727648437	1447727647872	7	4
1447728637117	1447728636550	6	5
1447729998272	1447729996948	7	4
1447730334347	1447730332690	7	4
1447730340391	1447730339706	6	5
1447732451095	1447732449690	7	4
1447732496828	1447732495333	8	3
1447732808719	1447732807109	8	3
1447742608591	1447742604976	8	3
1447760075560	1447760074133	7	4
1447764190188	1447764189172	6	5
1447764454062	1447764452997	7	4
1447764573442	1447764571947	8	3
1447764693545	1447764692147	9	2
1447765005423	1447765003687	9	2
1447765019230	1447765017813	8	3
1447765257060	1447765255647	9	2
1447765604884	1447765604117	8	3
1447765730187	1447765728605	8	2
1447765985082	1447765984293	7	3
1447766242093	1447766240646	8	2
1447766691788	1447766690457	7	3
1447767424132	1447767421884	7	3
1447767428928	1447767428037	6	4
1447767724583	1447767723059	7	3
1447767918120	1447767916607	8	2
1447768030819	1447768029306	8	2
1447768238989	1447768237288	9	1
1447768899790	1447768898765	8	2
1447769174438	1447769173316	8	2
1447769303564	1447769301910	9	1
1447769307464	1447769306419	8	2
1447770084124	1447770082355	9	1
1447770138449	1447770137017	8	2
1447770555751	1447770554013	8	2
1447770998256	1447770989534	8	2
1447770998256	1447770996855	7	3
1447772615652	1447772613755	7	3
1447772691089	1447772688731	7	3
1447772719237	1447772717682	5	5
1447772823256	1447772822015	4	6
1447773115689	1447773114427	3	7
1447773578513	1447773576292	5	5
1447774880540	1447774878600	6	4
1447776444134	1447776441620	6	4
1447776454167	1447776452449	5	5
1447776683247	1447776681789	4	6
1447778434364	1447778433285	3	7
1447779128501	1447779127465	2	8
1447779701536	1447779700626	1	9
1447781251542	1447781250174	3	7
1447781702586	1447781700557	3	7
1447781712578	1447781711058	2	8
1447782004719	1447782001423	3	7
1447782037827	1447782009628	3	7
1447782247099	1447782246349	2	8
1447782637670	1447782636936	1	9
1447784064280	1447784063020	2	8
1447784603768	1447784602545	3	7
1447785395132	1447785393773	4	6
1447786022941	1447786022275	3	7
1447789010303	1447789009413	2	8
1447789086555	1447789085712	2	8
1447789505095	1447789504217	1	9
1447791612722	1447791611141	2	8
1447791640133	1447791638392	3	7
1447791994795	1447791993171	4	6
1447794009249	1447794007441	5	5
1447794368416	1447794367317	4	6
1447795478862	1447795477128	2	8
1447795726067	1447795724166	3	7
1447795839838	1447795837726	4	6
1447796060566	1447796059304	3	7
1447796237792	1447796236558	2	8
1447796455223	1447796453886	1	9
1447797069699	1447797069185	0	10
1447797417279	1447797415922	1	9
1447797449503	1447797448415	2	8
1447797640278	1447797639733	1	9
1447797909749	1447797909081	0	10
1447798256732	1447798255526	1	9
1447798544697	1447798544100	0	10
1447799259269	1447799257940	1	9
1447799526265	1447799525632	0	10
1447801153734	1447801152430	1	9
1447801594848	1447801593483	2	8
1447801686930	1447801685571	3	7
1447801943328	1447801942557	2	8
1447803433492	1447803431604	2	8
1447803441902	1447803440875	1	9
