LastComm	LastUpdate	N_Bikes	N_Empty
1447721250838	1447721249657	16	3
1447723423019	1447723422293	15	4
1447724601313	1447724599899	14	5
1447725149416	1447725147878	15	4
1447726874914	1447726873278	16	3
1447728993004	1447728991267	17	2
1447729557483	1447729555708	18	1
1447729684456	1447729683343	17	2
1447730473785	1447730472623	16	3
1447730952902	1447730951017	17	2
1447731466993	1447731464947	18	1
1447742619864	1447742603985	18	1
1447758772028	1447758770654	17	2
1447762292685	1447762290475	18	1
1447762800685	1447762798315	19	0
1447764800411	1447764800010	18	1
1447764843483	1447764843244	17	2
1447765743805	1447765742836	18	1
1447766325849	1447766325512	17	2
1447766351846	1447766351512	16	3
1447766689407	1447766688397	17	2
1447766821195	1447766820831	16	3
1447767002656	1447767001916	18	1
1447767420167	1447767419762	17	2
1447767742888	1447767742368	17	2
1447767951291	1447767950854	16	3
1447768091178	1447768090733	15	4
1447768402489	1447768402022	14	5
1447768457965	1447768456826	15	4
1447768698129	1447768696956	16	3
1447768844247	1447768843749	15	4
1447768971352	1447768970140	16	3
1447769580298	1447769578997	17	2
1447769761178	1447769759897	18	1
1447769834767	1447769833458	19	0
1447770676700	1447770675843	19	0
1447770775772	1447770774424	18	1
1447770998057	1447770997423	17	2
1447771315313	1447771313926	18	1
1447772321626	1447772320892	17	2
1447772364400	1447772362799	18	1
1447772549072	1447772547686	19	0
1447773392554	1447773391006	18	1
1447773455008	1447773453587	17	2
1447773527989	1447773526518	15	4
1447773550946	1447773550140	14	5
1447773604199	1447773602766	15	4
1447774308727	1447774307722	14	5
1447774949814	1447774948207	15	4
1447775777122	1447775775027	15	4
1447775780398	1447775779461	14	5
1447778840628	1447778840357	13	6
1447779388952	1447779388649	12	7
1447780661748	1447780661353	11	8
1447780811061	1447780810589	10	9
1447781247175	1447781246693	9	10
1447783486721	1447783486142	8	11
1447785600153	1447785598712	9	10
1447786667966	1447786666504	10	9
1447787155985	1447787154463	11	8
1447787587379	1447787585772	12	7
1447788818060	1447788816322	13	6
1447789541686	1447789539972	14	5
1447789635817	1447789634112	15	4
1447791468858	1447791467767	14	5
1447792105626	1447792104499	13	6
1447792484773	1447792483652	12	7
1447796178591	1447796177381	11	8
1447796700767	1447796698706	12	7
1447797019041	1447797017136	13	6
1447797332016	1447797323256	14	5
1447798090830	1447798088807	15	4
1447798119034	1447798117727	14	5
1447798635812	1447798633796	15	4
1447799084972	1447799083553	14	5
1447799430175	1447799428472	13	6
1447799472448	1447799467534	12	7
1447799581737	1447799577158	11	8
1447799723047	1447799721601	10	9
1447800694271	1447800692067	11	8
1447800766046	1447800763868	12	7
1447801114859	1447801112646	13	6
1447801392297	1447801390778	12	7
1447801548618	1447801546426	13	6
1447801743728	1447801741516	14	5
1447801834321	1447801831896	15	4
1447802023638	1447802021396	16	3
1447802267660	1447802266073	15	4
1447802438892	1447802436556	16	3
1447803354175	1447803352532	15	4
1447803788941	1447803786456	16	3
1447803813590	1447803811247	17	2
1447804290283	1447804288579	16	3
1447804653163	1447804650757	17	2
